index,survey_title,cr_rate_per_agent,remaining_cr,deadline
0,MRCB Buying Propensity,4,1068,2023-07-14
1,PRN Kelantan,5,1068,2023-07-14
2,PKR National Tracker Feb 2023,6,1500,2023-07-14
3,PKR National Tracker Mar 2023,4,1500,2023-07-14
4,PKR National Tracker Apr 2023,5,1500,2023-07-14
5,UM Perception on Climate Change and Methane Emissions,6,400,2023-07-14
6,RHB National Economic Sentiment Survey,4,600,2023-07-14
7,PRN N9 May 2023 Survey Tracker,5,900,2023-07-14
8,PKR National Tracker Jun 2023,6,1500,2023-07-14
9,PRN N9 Jun 2023 Survey Tracker,7,900,2023-07-14
